Year,Distance,Engine_capacity(cm3),Price(euro),Style_ID,Transmission_ID,Fuel_type_ID
2008.0,180000,1746.0,7535.0,5,1,3
2017.0,160000,1500.0,7200.0,2,2,2
2008.0,230000,1800.0,7700.0,5,1,4
2008.0,1,1746.0,7535.0,2,2,3
2000.0,303000,2000.0,3800.0,5,1,4
2012.0,111896,1200.0,3499.0,1,2,3
2012.0,165000,1800.0,9200.0,2,1,1
2015.0,169265,1800.0,12650.0,2,1,1
2007.0,172316,1400.0,2800.0,1,2,3
2016.0,184500,1500.0,15499.0,1,1,3
2008.0,122000,1746.0,7535.0,7,1,2
2017.0,127000,2000.0,21990.0,5,1,3
2007.0,193000,1988.0,7600.0,5,1,3
1996.0,256000,1800.0,2300.0,5,2,3
2013.0,162000,2400.0,15000.0,2,1,6
2019.0,26000,1400.0,12990.0,1,1,3
2007.0,220000,1600.0,6500.0,10,2,3
2012.0,199000,2000.0,11800.0,4,2,2
2014.0,216000,1600.0,10700.0,5,1,2
2013.0,188000,1400.0,8800.0,5,1,1
2012.0,212700,1200.0,5450.0,2,2,2
2005.0,270000,1800.0,3500.0,2,2,3
2013.0,60000,2000.0,12700.0,5,1,3
2008.0,178000,1746.0,7535.0,4,1,4
2011.0,90000,2200.0,13300.0,7,1,2
2014.0,143000,2000.0,11700.0,5,2,2
2008.0,47000,1746.0,7535.0,4,1,3
2008.0,230000,1800.0,7800.0,5,1,4
2007.0,194777,2000.0,5000.0,5,1,3
2008.0,200000,1900.0,5000.0,2,2,2
2016.0,144000,1800.0,12300.0,1,1,1
1995.0,5000,2400.0,1700.0,1,2,2
2002.0,256000,2700.0,5500.0,5,1,2
2008.0,193000,1746.0,7535.0,4,1,2
2008.0,1,1746.0,7535.0,5,2,2
2006.0,250000,1300.0,4500.0,1,2,2
2015.0,173000,1400.0,8600.0,5,1,3
2008.0,185000,1746.0,7535.0,4,1,2
2006.0,220000,2700.0,13500.0,4,1,4
2018.0,95000,900.0,10500.0,1,2,3
2011.0,169000,2200.0,13990.0,7,1,2
2012.0,200000,2000.0,11500.0,5,1,3
2014.0,60000,2000.0,9900.0,5,1,4
2009.0,276555,1595.0,9500.0,8,2,3
2005.0,227000,1600.0,4650.0,2,2,4
2003.0,230000,1800.0,4900.0,7,1,4
1993.0,100,1800.0,1600.0,1,2,3
2010.0,150000,1400.0,6000.0,2,2,3
2004.0,139000,1500.0,3700.0,2,2,2
2012.0,206000,2200.0,14399.0,5,2,2
2001.0,2345678,2500.0,6300.0,5,1,2
1999.0,1,2500.0,2900.0,8,2,2
2008.0,77000,1746.0,7535.0,4,1,2
2014.0,457117,1490.0,7200.0,2,1,2
2017.0,40000,2000.0,16999.0,5,1,3
2016.0,185000,1500.0,13000.0,7,2,2
2015.0,157000,1400.0,13500.0,1,1,6
2011.0,1234,2000.0,9500.0,2,1,3
2013.0,145000,1200.0,8800.0,4,1,3
2013.0,177800,1400.0,8500.0,2,2,2
2006.0,247000,2200.0,2200.0,8,2,2
2008.0,165000,1746.0,7535.0,5,1,2
2015.0,75000,2000.0,19000.0,5,1,3
2004.0,300000,2500.0,8000.0,13,2,2
2017.0,95000,1800.0,17999.0,5,1,6
2000.0,222530,1600.0,3800.0,5,2,3
2005.0,270000,2000.0,5700.0,5,2,3
2012.0,167000,1000.0,4999.0,2,2,3
1995.0,345000,1800.0,2200.0,5,1,4
2014.0,212600,1400.0,6850.0,1,2,2
2013.0,140000,1500.0,8500.0,7,2,2
2015.0,220000,2000.0,9990.0,1,1,3
2012.0,237000,2200.0,10490.0,3,2,2
